,Author,Article_ID,publish_date,Day,Daily_Reads,content_types
52,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,52,5,1
53,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,53,94,1
54,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,54,25,1
55,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,55,82,1
56,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,56,57,1
57,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,57,56,1
58,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,58,59,1
59,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,59,24,1
60,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,60,27,1
61,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,61,8,1
62,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,62,82,1
63,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,63,69,1
64,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,64,52,1
65,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,65,18,1
66,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,66,6,1
67,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,67,27,1
68,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,68,88,1
69,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,69,90,1
70,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,70,74,1
71,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,71,26,1
72,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,72,62,1
73,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,73,84,1
74,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,74,35,1
75,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,75,10,1
76,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,76,100,1
77,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,77,49,1
78,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,78,82,1
79,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,79,37,1
80,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,80,7,1
81,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,81,95,1
82,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,82,100,1
83,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,83,27,1
84,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,84,71,1
85,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,85,10,1
86,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,86,0,1
87,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,87,60,1
88,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,88,24,1
89,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,89,25,1
90,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,90,47,1
91,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,91,42,1
92,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,92,47,1
93,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,93,32,1
94,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,94,9,1
95,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,95,28,1
96,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,96,8,1
97,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,97,12,1
98,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,98,69,1
99,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,99,10,1
100,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,100,52,1
101,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,101,8,1
102,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,102,26,1
103,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,103,26,1
104,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,104,77,1
105,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,105,31,1
106,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,106,15,1
107,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,107,96,1
108,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,108,31,1
109,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,109,51,1
110,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,110,0,1
111,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,111,58,1
112,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,112,92,1
113,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,113,16,1
114,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,114,78,1
115,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,115,29,1
116,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,116,75,1
117,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,117,29,1
118,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,118,90,1
119,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,119,2,1
120,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,120,100,1
121,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,121,10,1
122,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,122,23,1
123,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,123,29,1
124,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,124,83,1
125,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,125,71,1
126,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,126,30,1
127,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,127,60,1
128,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,128,76,1
129,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,129,44,1
130,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,130,70,1
131,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,131,61,1
132,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,132,30,1
133,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,133,13,1
134,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,134,56,1
135,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,135,16,1
136,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,136,56,1
137,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,137,89,1
138,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,138,18,1
139,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,139,1,1
140,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,140,5,1
141,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,141,4,1
142,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,142,3,1
143,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,143,23,1
144,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,144,89,1
145,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,145,27,1
146,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,146,87,1
147,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,147,48,1
148,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,148,8,1
149,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,149,100,1
150,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,150,72,1
151,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,151,96,1
152,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,152,85,1
153,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,153,77,1
154,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,154,56,1
155,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,155,89,1
156,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,156,20,1
157,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,157,69,1
158,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,158,21,1
159,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,159,29,1
160,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,160,4,1
161,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,161,40,1
162,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,162,47,1
163,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,163,84,1
164,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,164,32,1
165,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,165,97,1
166,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,166,8,1
167,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,167,52,1
168,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,168,61,1
169,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,169,97,1
170,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,170,61,1
171,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,171,71,1
172,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,172,45,1
173,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,173,62,1
174,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,174,99,1
175,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,175,75,1
176,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,176,68,1
177,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,177,15,1
178,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,178,96,1
179,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,179,75,1
180,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,180,81,1
181,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,181,46,1
182,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,182,28,1
183,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,183,9,1
184,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,184,94,1
185,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,185,19,1
186,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,186,40,1
187,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,187,15,1
188,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,188,45,1
189,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,189,29,1
190,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,190,93,1
191,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,191,69,1
192,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,192,66,1
193,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,193,60,1
194,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,194,85,1
195,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,195,18,1
196,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,196,70,1
197,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,197,20,1
198,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,198,34,1
199,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,199,67,1
200,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,200,99,1
201,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,201,50,1
202,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,202,17,1
203,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,203,22,1
204,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,204,22,1
205,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,205,41,1
206,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,206,75,1
207,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,207,40,1
208,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,208,64,1
209,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,209,3,1
210,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,210,44,1
211,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,211,55,1
212,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,212,84,1
213,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,213,82,1
214,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,214,33,1
215,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,215,50,1
216,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,216,35,1
217,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,217,5,1
218,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,218,39,1
219,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,219,18,1
220,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,220,57,1
221,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,221,93,1
222,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,222,89,1
223,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,223,37,1
224,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,224,97,1
225,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,225,78,1
226,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,226,23,1
227,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,227,62,1
228,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,228,44,1
229,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,229,39,1
230,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,230,69,1
231,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,231,90,1
232,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,232,65,1
233,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,233,69,1
234,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,234,68,1
235,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,235,14,1
236,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,236,80,1
237,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,237,42,1
238,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,238,86,1
239,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,239,64,1
240,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,240,81,1
241,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,241,82,1
242,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,242,64,1
243,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,243,6,1
244,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,244,48,1
245,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,245,69,1
246,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,246,48,1
247,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,247,37,1
248,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,248,36,1
249,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,249,57,1
250,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,250,50,1
251,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,251,86,1
252,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,252,67,1
253,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,253,8,1
254,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,254,95,1
255,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,255,89,1
256,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,256,94,1
257,Melissa Wells,51c88cbb-a4f0-42e8-a306-5b7bd5cf86c0,2022-09-20,257,78,1
