,Author,Article_ID,Date,Reads
37,John Campbell,803bf556-a182-4bdc-8756-af73e8788921,2023-02-27,504
38,Christina Garrett,e54e22ac-8015-4ff0-8470-8ecf0b79edba,2023-02-09,2724
39,Andrew Pittman,2635b8df-3db2-4e54-97a7-b7462fc5cdcf,2023-03-16,8448
40,James Brown,4dc60404-a448-40ee-8fa8-9b244f60a51f,2023-03-07,6464
41,Ashley Thompson,dc18230b-732c-422e-9166-6297000a2ecc,2023-04-20,7325
42,Shelley George,5dd4958e-c13c-42e6-8a4f-8023f7682129,2023-01-04,6282
43,Laura Hill,8e9990b6-eb10-442f-9c03-d5bb01649694,2023-06-01,6749
44,Ashley Roman,750090b3-9daa-4897-b427-48502400584c,2023-05-30,2168
45,Eric Howard,5b4ace32-a5a6-4d1a-a443-4752f4a6af41,2023-01-13,7496
46,Alex Rollins,ae1bbb2a-8f18-433e-859a-b7c20c492bcb,2023-03-23,2891
47,Hannah Middleton,54e9d7b6-5832-475e-b0cf-1812264c4f8e,2023-02-10,8872
48,Summer Newton,0f766532-4192-4071-926a-355d853e4a9e,2023-04-26,4644
49,Rebecca Cruz,f4d49bcd-3b0b-481d-9a78-afacaeac45c2,2023-04-06,2806
50,Destiny Jenkins,887adbd8-0eb5-42cb-bea7-eaff9780a517,2023-02-05,1603
51,Jonathan Barnes,13df83e1-329a-4558-8ff0-ef92f70791ab,2023-05-05,7777
52,Katie Keller,11dbb7a0-4201-4898-bff4-b7e2262679d3,2023-01-13,5517
53,Mandy Jones,ac9ab1ea-d753-4d33-8af4-163060a13534,2023-04-06,5203
54,Darlene Velasquez,c8abc7cd-4498-4a9b-af99-0fcffd6d5f02,2023-05-01,4371
55,Jacqueline Baker,ac05300d-d1c7-4243-94a5-47d8ad4b4570,2023-01-23,9552
56,Christopher Wright,93c70083-8ba7-440b-9a9c-6869f319a6ff,2023-01-17,4480
57,Robert Fitzgerald,a929da94-62c7-4fc3-9d2e-4e6c644b4cd2,2023-04-05,7544
58,Lisa Evans,5e174765-2d5a-4df2-ad98-0d6687240d90,2023-06-01,3277
59,Jessica Contreras,50c2a220-249f-40df-9ff1-bf90e3898db6,2023-03-24,1969
60,Megan Perez,bd913c94-f6d2-4cd0-ba0a-893f8674305a,2023-04-10,310
61,Jennifer Medina,76a3776d-37ff-469d-aded-07ef5a24349c,2023-03-02,1334
62,Vincent Russell,c4abbe40-9c3d-40d7-a18a-23dc47481987,2023-06-03,4004
63,Wanda Hoffman,63ff7b2d-fe22-463e-99e0-812de759d080,2023-01-02,7414
64,Jason Harris,08a624ed-2cb1-4913-95d4-6c31c271aafc,2023-04-07,571
65,Melissa Rodriguez,ff2c16f6-6a57-4380-b705-43b111b6acd9,2023-05-25,8516
66,Kimberly Simmons,830864cb-93c3-4124-80ff-90c156fb2613,2023-02-15,3499
67,Jessica Simpson,2c49fa2d-8ea0-4a0f-937d-1db314cb2aff,2023-04-01,4350
68,Anita Morales,fb76dbc2-eb3a-49c5-a2fa-070089be27d5,2023-02-07,118
69,Jonathan Woodward MD,5188de09-201c-4b72-8b41-b41768da76ea,2023-05-05,4779
70,Katrina Wright,fea44c08-80ee-41b2-b75e-aa44756ae681,2023-01-19,2705
71,Mr. John Cox,462f82ce-3014-4043-a077-ac72c7347e49,2023-02-22,2598
72,Jeffrey Fox,b40762fc-c341-4726-a1f5-7e73a7f3d9ad,2023-05-24,2688
73,Rebecca Wood,c17793b2-230e-40fd-8f28-dae0181c6ec8,2023-05-13,454
74,Alejandro White,5251ae77-6861-4cbb-ba43-2bf148bdfa04,2023-03-07,5581
75,Tiffany Mccoy,8c007d5a-b786-4a1a-a93e-0a77e38d4b3e,2023-02-23,1992
76,Daniel Ramos,88adf093-e667-43d8-ab1c-644019cbe3f4,2023-02-28,2370
77,Theresa Mitchell,e89c2351-d024-4f6d-936d-a70b7b6208e3,2023-02-25,3203
78,Tracy Roach,dce84d3f-674e-4140-be7b-fdb694eac489,2023-05-18,4891
79,Christine Adams,5b50c4a6-3afc-480b-8926-8439ed070a98,2023-01-14,534
80,Stephanie Benson,1520ab58-f300-45bc-ad16-4a3ad714d014,2023-02-10,5374
81,Ann Leonard,3629bfb9-5450-4ddc-90fd-b0a058dccc32,2023-01-30,4136
82,Lisa Henderson,2ba0cedc-1dab-49ec-9df5-4cbb1b21050d,2023-03-26,6843
83,Amanda Green,811223db-e4cb-4d77-9a5a-adba03e6ef14,2023-01-10,9868
84,Carla Harris,65dd2a09-1387-40f8-8714-cb53455c1fa8,2023-01-16,5591
85,Tom Walker,a61a03c5-ae6c-49d9-b505-29d60fd4b01a,2023-01-23,4139
86,Michael Jones,4dc5c427-d34e-42ff-a773-00f404cf3d1b,2023-01-28,1897
87,Robert Marsh,596cb2ad-13f9-424c-8fba-cc2664bc1abe,2023-02-28,7194
88,Emily Walker,2c51be40-85c1-453e-b794-e0d4035ee4a5,2023-05-26,5193
89,Samantha Yang,581ec5ae-69f9-4044-bd08-30a9c7e31c90,2023-01-26,8121
90,Kyle Miller,6a644017-a8c4-487f-8d7e-e5f97802b19e,2023-01-04,7850
91,Angela Hughes,8b87571e-21c7-43e7-b34c-3cc05e365c85,2023-05-17,5875
92,Whitney Richardson,c78b5694-86ad-4a3f-bdf4-d11778ae1247,2023-03-26,1717
93,William James,7a77f07b-46f8-4640-a5f8-1423f2477de0,2023-04-08,4249
94,Jack Gonzales,3ee34e47-a343-4aa4-8561-7c2d3211b679,2023-05-03,9536
95,Alexis Long,d69cf74a-ce09-419e-b250-93464fb01c9f,2023-04-02,5364
96,Mr. Jonathan Higgins,081aeee0-1d2f-4bfc-a97d-cb65954e5133,2023-04-21,2886
97,Jon Johnson,b8ac2122-6103-4f6a-b0ad-8da9ea9a90d6,2023-02-05,969
98,Roy Anderson,24403dab-b246-45ce-b188-fbefae0379ef,2023-01-19,7523
99,Raymond King,11b77e36-f759-41b1-a201-05823c31a64f,2023-04-28,4718
